App Name,Category,One-line description,Authentication method,Self Serve or Gated,API Type,API Surface,Existing MCP,Buildability Verdict,Main Blocker,Evidence URL
Meta Ads,Marketing Ads Email and Social,Based lookalikes engagement custom audiences mobile app custom audiences website custom audiences offline custom audiences dynamic audiences audience network ads reach estimate api special ad category targeting guides reference basic target,Unknown,Self Serve,REST,Large,Yes,Partially buildable,Authentication requirements are not clearly documented.,https://developers.facebook.com/docs/marketing-apis
LinkedIn Ads,Marketing Ads Email and Social,Microsoft learn skip to main content this browser is no longer supported.,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://learn.microsoft.com/linkedin/marketing
GoHighLevel,Marketing Ads Email and Social,It's time to take your agency to the next level start your 14 day free trial today!,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://gohighlevel.com
Mailchimp,Marketing Ads Email and Social,Mailchimp skip to main content save 50% for 12 months.,Unknown,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://mailchimp.com
Klaviyo,Marketing Ads Email and Social,"B2c crm skip to main content platform overview the b2c crm discover how the klaviyo crm, built for your business, can help you create lasting customer relationships.",Unknown,Self Serve,Unknown,Large,Yes,Blocked,No public API or API documentation was found in the collected evidence.,https://klaviyo.com
systeme.io,Marketing Ads Email and Social,The only tool you need to launch your online business en ⌄ why systeme.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://systeme.io
Pinterest,Marketing Ads Email and Social,Pinterest is a SaaS product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://pinterest.com
Threads,Marketing Ads Email and Social,Threads is a SaaS product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://threads.net
SendGrid,Marketing Ads Email and Social,Twilio english an icon of a down chevron english an icon of a checkmark french german japanese portuguese spanish support an icon of a down chevron help center support plans partner solutions login an icon of a down chevron to twilio consol,Unknown,Gated,Unknown,Medium,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://sendgrid.com
Shopify,Ecommerce,Shopify why shopify back get started fast you could be selling by tomorrow.,SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://shopify.com
WooCommerce,Ecommerce,Woocommerce skip to navigation develop on woo hire an expert get support sell extensions enterprise ecommerce the most flexible ecommerce platform woocommerce is the open.,API key,Self Serve,REST,Medium,Yes,Buildable,No obvious blocker found in the collected evidence.,https://woocommerce.com
BigCommerce,Ecommerce,BigCommerce is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://bigcommerce.com
Salesforce Commerce Cloud,Ecommerce,Salesforce Commerce Cloud is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://commerce.salesforce.com
Magento,Ecommerce,Magento is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://adobe.com/commerce/magento
Squarespace,Ecommerce,Squarespace skip to main content products solutions preise undefined undefined account dashboard domains log out get started start a free trial products website websites → website templates → ai website builder → detelligence → ecommerce →,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://squarespace.com
Ecwid,Ecommerce,#1 ecommerce shopping cart & online store.,SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://ecwid.com
Gumroad,Ecommerce,Earn your first dollar online with gumroad 9.,"API key, SSO",Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://gumroad.com
